longitude,latitude
-21.3667,3
-21.9667,4.53333
-22.35,5.63333
-25.1333,6.13333
-25.6333,6.96667
-26.0333,7.81667
-27.3,8.7
-28.5,9.68333
-29.5833,10.7833
-30.6667,12.1167
-31.85,13.5
-33.0333,15.3167
-34.15,17.0833
-35.6667,18.8333
-36.6833,20.2
-38.0833,21.3333
-39.15,22.35
-40.0667,23.6667
-41.1833,24.5167
-43.3,26.0167
-43.7,27.3667
-43.7,28.8333
-44.15,30.1833
-44.8333,31.2
-45.2333,32.2667
-44.8833,33.1333
-44.4167,34.2333
-43.8,35.8
-41.9,37.0333
-40.6333,38.3
-38.6333,38.95
-36.9833,39.5333
-34.7333,40.15
-33.1667,40.4833
-30.3333,40.8833
-27.8667,41.1833
-26.2167,40.7167
-24.8167,40.5667
-23.55,40.65
-21.9667,40.7167
-20.9833,41.2333
-19.3,42.9167
-17.6,43.65
-16.0333,44.5667
-13.9833,44.9
-13.0333,44.9
-11.9833,45.4
-10.7333,45.4833
-9.3,45.5667
-9.7,45.75
-9.65,46.2667
-8.9,46.75
-8.11667,48.3167
-6.3,49.4833
